Year,Month,Month_Year,IndustryLvl1,IndustryLvl2,IndustryLvl3,IndustryLvl4,AFF2017,Region,Local_Government_District,Age,Age_Group,FocusArea1,FocusArea2,QuadBike,No_of_Fatalities
2010,8,01AUG2010,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Northland,Far North,62,55-64,Agriculture,Vehicles & Machinery,Yes,1
2010,8,01AUG2010,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Taranaki,South Taranaki,64,55-64,Agriculture,Vehicles & Machinery,,1
2010,8,01AUG2010,Construction,Construction Services,Land Development and Site Preparation Services,Site Preparation Services,Construction,Otago,Dunedin,62,55-64,Construction,Vehicles & Machinery,,1
2010,8,01AUG2010,"Electricity, Gas, Water and Waste Services","Waste Collection, Treatment and Disposal Services",Waste Collection Services,Solid Waste Collection Services,"Electricity, Gas, Water and Waste Services",Auckland,Manukau,22,15-24,Not a focus area,Vehicles & Machinery,,1
2010,8,01AUG2010,"Electricity, Gas, Water and Waste Services","Waste Collection, Treatment and Disposal Services",Waste Collection Services,Solid Waste Collection Services,"Electricity, Gas, Water and Waste Services",Canterbury,Christchurch,51,45-54,Not a focus area,Vehicles & Machinery,,1
2010,8,01AUG2010,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Public Order and Safety Services,Police Services,Public Administration and Safety,Manawatu-Whanganui,Whanganui,54,45-54,Not a focus area,Sudden Death,,1
2010,9,01SEP2010,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Waikato,Matamata-Piako,23,15-24,Agriculture,Vehicles & Machinery,,1
2010,9,01SEP2010,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Hawke's Bay,Wairoa,57,55-64,Agriculture,Animal,,1
2010,9,01SEP2010,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Northland,Kaipara,52,45-54,Agriculture,Vehicles & Machinery,Yes,1
2010,9,01SEP2010,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Northland,Whangarei,64,55-64,Agriculture,Vehicles & Machinery,Yes,1
