Year,Month,Month_Year,IndustryLvl1,IndustryLvl2,IndustryLvl3,IndustryLvl4,AFF2017,Region,Local_Government_District,Age,Age_Group,FocusArea1,FocusArea2,QuadBike,No_of_Fatalities
2013,12,01DEC2013,Construction,Construction Services,Building Structure Services,Bricklaying Services,Construction,Auckland,Auckland,47,45-54,Construction,Vehicles & Machinery,,1
2014,1,01JAN2014,"Agriculture, Forestry and Fishing",Agriculture,Fruit and Tree Nut Growing,Other Fruit and Tree Nut Growing,Agriculture,Tasman,Tasman,67,65 and over,Agriculture,Vehicles & Machinery,,1
2014,1,01JAN2014,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Southland,Invercargill,6,14 and under,Agriculture,Vehicles & Machinery,Yes,1
2014,1,01JAN2014,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Marlborough,Marlborough,53,45-54,Forestry,Tree Felling,,1
2014,1,01JAN2014,Construction,Construction Services,Building Structure Services,Roofing Services,Construction,Auckland,North Shore,59,55-64,Construction,Fall from height,,1
2014,1,01JAN2014,Health Care and Social Assistance,Residential Care Services,Residential Care Services,Other Residential Care Services,Health Care and Social Assistance,Manawatu-Whanganui,Palmerston North,15,15-24,Not a focus area,Bodies of Water,,1
2014,2,01FEB2014,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Nelson,Nelson,67,65 and over,Agriculture,Vehicles & Machinery,,1
2014,2,01FEB2014,Manufacturing,Wood Product Manufacturing,Log Sawmilling and Timber Dressing,Timber Resawing and Dressing,Manufacturing,Northland,Whangarei,25,25-34,Ports & Marinas,Vehicles & Machinery,,1
2014,2,01FEB2014,"Transport, Postal and Warehousing",Road Transport,Road Freight Transport,Road Freight Transport,"Transport, Postal and Warehousing",Waikato,Thames-Coromandel,47,45-54,Not a focus area,Vehicles & Machinery,,1
2014,3,01MAR2014,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Bay of Plenty,Tauranga,66,65 and over,Agriculture,Vehicles & Machinery,Yes,1
2014,3,01MAR2014,Other Services,Repair and Maintenance,Machinery and Equipment Repair and Maintenance,Other Machinery and Equipment Repair and Maintenance,Other Services,Otago,Dunedin,58,55-64,Manufacturing,Fall from height,,1
2014,3,01MAR2014,"Transport, Postal and Warehousing",Road Transport,Road Freight Transport,Road Freight Transport,"Transport, Postal and Warehousing",Otago,Clutha,7,14 and under,Not a focus area,Vehicles & Machinery,,1
2014,4,01APR2014,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Southland,Southland,58,55-64,Agriculture,Vehicles & Machinery,,1
2014,4,01APR2014,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Waikato,Waikato,23,15-24,Adventure Activities,"SCUBA Diving, Snorkelling, Free diving",,1
2014,5,01MAY2014,Construction,Construction Services,Land Development and Site Preparation Services,Site Preparation Services,Construction,Waikato,Matamata-Piako,34,25-34,Agriculture,Vehicles & Machinery,,1
2014,5,01MAY2014,Health Care and Social Assistance,Residential Care Services,Residential Care Services,Other Residential Care Services,Health Care and Social Assistance,Nelson,Nelson,77,65 and over,Not a focus area,Falling/Moving Object,,1
2014,5,01MAY2014,Manufacturing,Food Product Manufacturing,Meat and Meat Product Manufacturing,Meat Processing,Manufacturing,Otago,Clutha,44,35-44,Manufacturing,Machine Guarding,,1
2014,6,01JUN2014,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Auckland,Manukau,70,65 and over,Agriculture,Vehicles & Machinery,,1
2014,6,01JUN2014,"Agriculture, Forestry and Fishing",Agriculture,Other Livestock Farming,Other Livestock Farming n.e.c.,Agriculture,Canterbury,Mackenzie,49,45-54,Agriculture,Vehicles & Machinery,,1
2014,6,01JUN2014,"Agriculture, Forestry and Fishing",Agriculture,Other Livestock Farming,Other Livestock Farming n.e.c.,Agriculture,Gisborne,Gisborne,62,55-64,Agriculture,Vehicles & Machinery,,1
2014,6,01JUN2014,"Electricity, Gas, Water and Waste Services","Waste Collection, Treatment and Disposal Services","Waste Treatment, Disposal and Remediation Services",Waste Treatment and Disposal Services,"Electricity, Gas, Water and Waste Services",Auckland,Waitakere,56,55-64,Not a focus area,Vehicles & Machinery,,1
2014,6,01JUN2014,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Public Order and Safety Services,Correctional and Detention Services,Public Administration and Safety,Nelson,Nelson,26,25-34,Not a focus area,Log Hauling,,1
2014,6,01JUN2014,"Transport, Postal and Warehousing",Road Transport,Road Freight Transport,Road Freight Transport,"Transport, Postal and Warehousing",Canterbury,Hurunui,38,35-44,Not a focus area,Vehicles & Machinery,,1
2014,7,01JUL2014,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Waikato,Otorohanga,48,45-54,Agriculture,Vehicles & Machinery,,1
2014,7,01JUL2014,Construction,Building Construction,Residential Building Construction,House Construction,Construction,Hawke's Bay,Central Hawke's Bay,24,15-24,Construction,Other,,1
2014,8,01AUG2014,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Waikato,Otorohanga,40,35-44,Agriculture,Vehicles & Machinery,,1
2014,8,01AUG2014,"Agriculture, Forestry and Fishing",Agriculture,Other Livestock Farming,Pig Farming,Agriculture,Otago,Waitaki,60,55-64,Agriculture,Bodies of Water,,1
2014,8,01AUG2014,"Transport, Postal and Warehousing",Transport Support Services,Water Transport Support Services,Stevedoring Services,"Transport, Postal and Warehousing",Bay of Plenty,Tauranga,59,55-64,Ports & Marinas,Fall from height,,1
2014,8,01AUG2014,"Transport, Postal and Warehousing",Transport Support Services,Water Transport Support Services,Stevedoring Services,"Transport, Postal and Warehousing",Canterbury,Christchurch,40,35-44,Ports & Marinas,Vehicles & Machinery,,1
2014,9,01SEP2014,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Waikato,Matamata-Piako,20,15-24,Agriculture,Vehicles & Machinery,,1
2014,9,01SEP2014,"Agriculture, Forestry and Fishing",Agriculture,Deer Farming,Deer Farming,Agriculture,Canterbury,Timaru,38,35-44,Agriculture,Vehicles & Machinery,Yes,1
2014,9,01SEP2014,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Otago,Central Otago,52,45-54,Agriculture,"Fire, burns, explosion",,1
2014,9,01SEP2014,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Otago,Clutha,56,55-64,Agriculture,Vehicles & Machinery,Yes,1
2014,9,01SEP2014,Construction,Heavy and Civil Engineering Construction,Heavy and Civil Engineering Construction,Road and Bridge Construction,Construction,Southland,Southland,53,45-54,Construction,Vehicles & Machinery,,1
2014,9,01SEP2014,Public Administration and Safety,Public Administration,Central Government Administration,Central Government Administration,Public Administration and Safety,Canterbury,Ashburton,55,55-64,Not a focus area,Sudden Death,,1
2014,9,01SEP2014,Public Administration and Safety,Public Administration,Central Government Administration,Central Government Administration,Public Administration and Safety,Canterbury,Ashburton,67,65 and over,Not a focus area,Sudden Death,,1
2014,10,01OCT2014,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Canterbury,Hurunui,71,65 and over,Agriculture,"Fire, heat, explosion (non-HSNO)",,1
2014,10,01OCT2014,"Transport, Postal and Warehousing",Rail Transport,Rail Freight Transport,Rail Freight Transport,"Transport, Postal and Warehousing",Waikato,Waitomo,14,14 and under,Not a focus area,Vehicles & Machinery,,1
2014,11,01NOV2014,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Taranaki,New Plymouth,78,65 and over,Agriculture,Vehicles & Machinery,Yes,1
2014,11,01NOV2014,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Otago,Dunedin,24,15-24,Agriculture,Vehicles & Machinery,,1
2014,11,01NOV2014,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Waikato,Thames-Coromandel,56,55-64,Adventure Activities,"SCUBA Diving, Snorkelling, Free diving",,1
2014,11,01NOV2014,"Transport, Postal and Warehousing",Postal and Courier Pick-Up and Delivery Services,Postal and Courier Pick-up and Delivery Services,Postal Services,"Transport, Postal and Warehousing",West Coast,Grey,73,65 and over,Not a focus area,Vehicles & Machinery,,1
2014,12,01DEC2014,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Manawatu-Whanganui,Tararua,48,45-54,Agriculture,Vehicles & Machinery,Yes,1
2014,12,01DEC2014,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Northland,Whangarei,53,45-54,Adventure Activities,High Wire,,1
2015,1,01JAN2015,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Waikato,Waikato,66,65 and over,Agriculture,Vehicles & Machinery,Yes,1
2015,2,01FEB2015,Arts and Recreation Services,Sport and Recreation Activities,Horse and Dog Racing Activities,Horse and Dog Racing Administration and Track Operation,Arts and Recreation Services,Otago,Dunedin,43,35-44,Agriculture,Vehicles & Machinery,,1
2015,3,01MAR2015,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Canterbury,Christchurch,34,25-34,Agriculture,Vehicles & Machinery,,1
2015,3,01MAR2015,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Canterbury,Waimakariri,61,55-64,Agriculture,Vehicles & Machinery,,1
2015,3,01MAR2015,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Waikato,Waikato,27,25-34,Agriculture,Vehicles & Machinery,,1
2015,3,01MAR2015,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Taranaki,Stratford,72,65 and over,Forestry,Vehicles & Machinery,,1
2015,3,01MAR2015,Construction,Heavy and Civil Engineering Construction,Heavy and Civil Engineering Construction,Road and Bridge Construction,Construction,Waikato,Waikato,38,35-44,Construction,Vehicles & Machinery,,1
2015,3,01MAR2015,"Electricity, Gas, Water and Waste Services","Waste Collection, Treatment and Disposal Services",Waste Collection Services,Solid Waste Collection Services,"Electricity, Gas, Water and Waste Services",Wellington,Wellington,21,15-24,Not a focus area,Vehicles & Machinery,,1
2015,3,01MAR2015,Mining,Non-Metallic Mineral Mining and Quarrying,Construction Material Mining,Other Construction Material Mining,Quarrying,Canterbury,Waimate,43,35-44,Extractives,Vehicles & Machinery,,1
2015,3,01MAR2015,Wholesale Trade,"Grocery, Liquor and Tobacco Product Wholesaling","Grocery, Liquor and Tobacco Product Wholesaling",General Line Groceries Wholesaling,Wholesale Trade,Wellington,Lower Hutt,31,25-34,Not a focus area,Vehicles & Machinery,,1
2015,4,01APR2015,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Northland,Far North,14,14 and under,Agriculture,Vehicles & Machinery,Yes,1
2015,4,01APR2015,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Wellington,Carterton,57,55-64,Agriculture,Vehicles & Machinery,Yes,1
2015,4,01APR2015,Mining,Non-Metallic Mineral Mining and Quarrying,Construction Material Mining,Other Construction Material Mining,Quarrying,Bay of Plenty,Western Bay of Plenty,24,15-24,Extractives,Vehicles & Machinery,,1
2015,5,01MAY2015,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Manawatu-Whanganui,Rangitikei,41,35-44,Agriculture,Vehicles & Machinery,Yes,1
2015,5,01MAY2015,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,West Coast,Buller,54,45-54,Agriculture,Vehicles & Machinery,Yes,1
2015,5,01MAY2015,Education and Training,Preschool and School Education,School Education,Primary Education,Education and Training,Hawke's Bay,Napier,9,14 and under,Not a focus area,Slips and trips,,1
2015,6,01JUN2015,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Northland,Kaipara,55,55-64,Agriculture,Tree Felling,,1
2015,6,01JUN2015,Mining,Non-Metallic Mineral Mining and Quarrying,Construction Material Mining,Other Construction Material Mining,Quarrying,Canterbury,Hurunui,56,55-64,Extractives,Excavation,,1
2015,7,01JUL2015,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Southland,Gore,35,35-44,Agriculture,Falling/Moving Object,,1
2015,7,01JUL2015,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Otago,Waitaki,63,55-64,Agriculture,Vehicles & Machinery,,1
2015,7,01JUL2015,Mining,Non-Metallic Mineral Mining and Quarrying,Construction Material Mining,Gravel and Sand Quarrying,Quarrying,Nelson,Nelson,73,65 and over,Construction,Bodies of Water,,1
2015,8,01AUG2015,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Waikato,Waikato,44,35-44,Agriculture,Vehicles & Machinery,Yes,1
2015,8,01AUG2015,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Manawatu-Whanganui,Tararua,70,65 and over,Agriculture,Vehicles & Machinery,Yes,1
2015,8,01AUG2015,Arts and Recreation Services,Sport and Recreation Activities,Sport and Physical Recreation Activities,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",Arts and Recreation Services,Otago,Queenstown-Lakes,58,55-64,Adventure Activities,Snow-based activities,,1
2015,8,01AUG2015,"Electricity, Gas, Water and Waste Services","Waste Collection, Treatment and Disposal Services",Waste Collection Services,Solid Waste Collection Services,"Electricity, Gas, Water and Waste Services",Auckland,Auckland,19,15-24,Not a focus area,Vehicles & Machinery,,1
2015,8,01AUG2015,Health Care and Social Assistance,Social Assistance Services,Other Social Assistance Services,Other Social Assistance Services,Health Care and Social Assistance,Southland,Gore,75,65 and over,Not a focus area,Sudden Death,,1
2015,8,01AUG2015,Other Services,Repair and Maintenance,Automotive Repair and Maintenance,Other Automotive Repair and Maintenance,Other Services,Otago,Waitaki,58,55-64,Not a focus area,Vehicles & Machinery,,1
2015,9,01SEP2015,Administrative and Support Services,"Building Cleaning, Pest Control and Other Support Services",Packaging and Labelling Services,Packaging Services,Administrative and Support Services,Canterbury,Christchurch,62,55-64,Manufacturing,Vehicles & Machinery,,1
2015,9,01SEP2015,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Canterbury,Ashburton,72,65 and over,Agriculture,Fall from height,,1
2015,9,01SEP2015,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Bay of Plenty,Whakatane,65,65 and over,Forestry,Tree Felling,,1
2015,9,01SEP2015,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Otago,Clutha,33,25-34,Forestry,Sudden Death,,1
2015,9,01SEP2015,Arts and Recreation Services,Heritage Activities,Parks and Gardens Operations,Zoological and Botanic Gardens Operation,Arts and Recreation Services,Waikato,Hamilton,43,35-44,Not a focus area,Animal,,1
2015,9,01SEP2015,"Electricity, Gas, Water and Waste Services","Waste Collection, Treatment and Disposal Services","Waste Treatment, Disposal and Remediation Services",Waste Remediation and Materials Recovery Services,"Electricity, Gas, Water and Waste Services",Auckland,Auckland,24,15-24,Not a focus area,"Fire, burns, explosion",,1
2015,10,01OCT2015,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Gisborne,Gisborne,25,25-34,Agriculture,Vehicles & Machinery,,1
2015,10,01OCT2015,"Transport, Postal and Warehousing",Road Transport,Road Freight Transport,Road Freight Transport,"Transport, Postal and Warehousing",Northland,Whangarei,41,35-44,Not a focus area,Vehicles & Machinery,,1
2015,11,01NOV2015,"Agriculture, Forestry and Fishing",Agriculture,Other Livestock Farming,Beekeeping,Agriculture,Bay of Plenty,Whakatane,19,15-24,Not a focus area,Vehicles & Machinery,,1
2015,11,01NOV2015,Construction,Construction Services,Other Construction Services,Other Construction Services n.e.c.,Construction,Waikato,Waipa,60,55-64,Construction,Hazardous Substances,,1
2015,11,01NOV2015,Mining,Metal Ore Mining,Metal Ore Mining,Gold Ore Mining,Mining,Southland,Southland,30,25-34,Extractives,Vehicles & Machinery,,1
2015,11,01NOV2015,"Transport, Postal and Warehousing",Warehousing and Storage Services,Warehousing and Storage Services,Other Warehousing and Storage Services,"Transport, Postal and Warehousing",Auckland,Manukau,54,45-54,Not a focus area,Vehicles & Machinery,,1
2015,12,01DEC2015,Administrative and Support Services,"Building Cleaning, Pest Control and Other Support Services","Building Cleaning, Pest Control and Gardening Services",Building and Other Industrial Cleaning Services,Administrative and Support Services,Otago,Dunedin,51,45-54,Not a focus area,Sudden Death,,1
2015,12,01DEC2015,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Hawke's Bay,Central Hawke's Bay,69,65 and over,Agriculture,Vehicles & Machinery,Yes,1
2015,12,01DEC2015,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Hawke's Bay,Hastings,69,65 and over,Agriculture,Vehicles & Machinery,Yes,1
2015,12,01DEC2015,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Beef Cattle Farming (Specialised),Agriculture,Northland,Whangarei,70,65 and over,Agriculture,Vehicles & Machinery,,1
2015,12,01DEC2015,Manufacturing,Transport Equipment Manufacturing,Other Transport Equipment Manufacturing,Boatbuilding and Repair Services,Manufacturing,Southland,Invercargill,51,45-54,Ports & Marinas,Vehicles & Machinery,,1
2015,12,01DEC2015,"Transport, Postal and Warehousing",Transport Support Services,Other Transport Support Services,Freight Forwarding Services,"Transport, Postal and Warehousing",Canterbury,Christchurch,65,65 and over,Not a focus area,Vehicles & Machinery,,1
2016,1,01JAN2016,"Agriculture, Forestry and Fishing",Agriculture,Other Livestock Farming,Other Livestock Farming n.e.c.,Agriculture,Hawke's Bay,Central Hawke's Bay,72,65 and over,Agriculture,Vehicles & Machinery,Yes,1
2016,1,01JAN2016,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement Parks and Centres Operation,Arts and Recreation Services,Auckland,Auckland,7,14 and under,Not a focus area,Sudden Death,,1
2016,1,01JAN2016,Construction,Construction Services,Building Installation Services,Other Building Installation Services,Construction,Wellington,Wellington,53,45-54,Not a focus area,Vehicles & Machinery,,1
2016,1,01JAN2016,Manufacturing,Wood Product Manufacturing,Other Wood Product Manufacturing,Prefabricated Wooden Building Manufacturing,Manufacturing,Waikato,Waikato,43,35-44,Manufacturing,Falling/Moving Object,,1
2016,2,01FEB2016,Construction,Construction Services,Building Installation Services,Electrical Services,Construction,Wellington,Masterton,44,35-44,Agriculture,Energy Safety,,1
2016,2,01FEB2016,Construction,Construction Services,Other Construction Services,Landscape Construction Services,Construction,Bay of Plenty,Western Bay of Plenty,49,45-54,Construction,Falling/Moving Object,,1
2016,2,01FEB2016,Construction,Heavy and Civil Engineering Construction,Heavy and Civil Engineering Construction,Road and Bridge Construction,Construction,Bay of Plenty,Opotiki,61,55-64,Forestry,Vehicles & Machinery,,1
2016,2,01FEB2016,Manufacturing,Basic Chemical and Chemical Product Manufacturing,Fertiliser and Pesticide Manufacturing,Fertiliser Manufacturing,Manufacturing,Bay of Plenty,Western Bay of Plenty,61,55-64,Not a focus area,Slips and trips,,1
2016,2,01FEB2016,"Rental, Hiring and Real Estate Services",Rental and Hiring Services (except Real Estate),Other Goods and Equipment Rental and Hiring,Heavy Machinery and scaffolding Rental and Hiring,"Rental, Hiring and Real Estate Services",Canterbury,Christchurch,36,35-44,Not a focus area,Falling/Moving Object,,1
2016,3,01MAR2016,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Northland,Far North,67,65 and over,Agriculture,Vehicles & Machinery,,1
2016,3,01MAR2016,"Agriculture, Forestry and Fishing",Agriculture,Deer Farming,Deer Farming,Agriculture,Tasman,Tasman,74,65 and over,Agriculture,"Fire, burns, explosion",,1
2016,3,01MAR2016,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Hawke's Bay,Hastings,53,45-54,Forestry,Tree Felling,,1
2016,3,01MAR2016,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Northland,Whangarei,37,35-44,Forestry,Breaking Out,,1
2016,3,01MAR2016,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Wellington,Masterton,31,25-34,Forestry,Tree Felling,,1
2016,3,01MAR2016,Construction,Heavy and Civil Engineering Construction,Heavy and Civil Engineering Construction,Other Heavy and Civil Engineering Construction,Construction,Manawatu-Whanganui,Whanganui,35,35-44,Not a focus area,Vehicles & Machinery,,1
2016,3,01MAR2016,"Electricity, Gas, Water and Waste Services","Waste Collection, Treatment and Disposal Services",Waste Collection Services,Solid Waste Collection Services,"Electricity, Gas, Water and Waste Services",Auckland,Auckland,51,45-54,Not a focus area,Vehicles & Machinery,,1
2016,3,01MAR2016,Manufacturing,Wood Product Manufacturing,Log Sawmilling and Timber Dressing,Timber Resawing and Dressing,Manufacturing,Canterbury,Timaru,3,14 and under,Not a focus area,Sudden Death,,1
2016,3,01MAR2016,"Transport, Postal and Warehousing",Road Transport,Road Freight Transport,Road Freight Transport,"Transport, Postal and Warehousing",Bay of Plenty,Tauranga,43,35-44,Not a focus area,Vehicles & Machinery,,1
2016,4,01APR2016,"Agriculture, Forestry and Fishing",Agriculture,Deer Farming,Deer Farming,Agriculture,Gisborne,Gisborne,63,55-64,Agriculture,Vehicles & Machinery,,1
2016,4,01APR2016,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Bay of Plenty,Whakatane,74,65 and over,Agriculture,Vehicles & Machinery,Yes,1
2016,4,01APR2016,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Otago,Clutha,72,65 and over,Agriculture,Vehicles & Machinery,,1
2016,4,01APR2016,"Agriculture, Forestry and Fishing",Agriculture,Other Livestock Farming,Other Livestock Farming n.e.c.,Agriculture,Wellington,Masterton,72,65 and over,Agriculture,Vehicles & Machinery,,1
2016,4,01APR2016,Construction,Building Construction,Residential Building Construction,Other Residential Building Construction,Construction,Manawatu-Whanganui,Palmerston North,66,65 and over,Construction,Slips and trips,,1
2016,4,01APR2016,Health Care and Social Assistance,Residential Care Services,Residential Care Services,Other Residential Care Services,Health Care and Social Assistance,Canterbury,Christchurch,47,45-54,Not a focus area,Sudden Death,,1
2016,5,01MAY2016,Accommodation and Food Services,Food and Beverage Services,Clubs (Hospitality),Clubs (Hospitality),Accommodation and Food Services,Waikato,Hamilton,64,55-64,Not a focus area,Fall from height,,1
2016,5,01MAY2016,Administrative and Support Services,"Building Cleaning, Pest Control and Other Support Services","Building Cleaning, Pest Control and Gardening Services",Gardening Services,Administrative and Support Services,Bay of Plenty,Rotorua,65,65 and over,Not a focus area,Vehicles & Machinery,,1
2016,5,01MAY2016,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Bay of Plenty,Western Bay of Plenty,58,55-64,Agriculture,Vehicles & Machinery,Yes,1
2016,6,01JUN2016,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Northland,Whangarei,69,65 and over,Agriculture,Vehicles & Machinery,,1
2016,6,01JUN2016,"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",Hunting and Trapping,Hunting and Trapping,"Fishing, Hunting and Trapping",West Coast,Westland,66,65 and over,Not a focus area,Vehicles & Machinery,,1
2016,6,01JUN2016,"Electricity, Gas, Water and Waste Services","Waste Collection, Treatment and Disposal Services","Waste Treatment, Disposal and Remediation Services",Waste Remediation and Materials Recovery Services,"Electricity, Gas, Water and Waste Services",Waikato,Hamilton,40,35-44,Not a focus area,Sudden Death,,1
2016,6,01JUN2016,Manufacturing,Basic Chemical and Chemical Product Manufacturing,Fertiliser and Pesticide Manufacturing,Fertiliser Manufacturing,Manufacturing,Canterbury,Christchurch,73,65 and over,Manufacturing,Energy Safety,,1
2016,7,01JUL2016,"Agriculture, Forestry and Fishing",Agriculture,Mushroom and Vegetable Growing,Vegetable Growing (Outdoors),Agriculture,Manawatu-Whanganui,Whanganui,59,55-64,Agriculture,Vehicles & Machinery,,1
2016,7,01JUL2016,Health Care and Social Assistance,Residential Care Services,Residential Care Services,Aged Care Residential Services,Health Care and Social Assistance,Auckland,Manukau,80,65 and over,Not a focus area,Sudden Death,,1
2016,7,01JUL2016,Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Textile Product Manufacturing,Textile Floor Covering Manufacturing,Manufacturing,Auckland,North Shore,57,55-64,Manufacturing,Falling/Moving Object,,1
2016,7,01JUL2016,Mining,Metal Ore Mining,Metal Ore Mining,Gold Ore Mining,Mining,Waikato,Hauraki,29,25-34,Extractives,Vehicles & Machinery,,1
2016,8,01AUG2016,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Bay of Plenty,Rotorua,35,35-44,Agriculture,Sudden Death,,1
2016,8,01AUG2016,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Bay of Plenty,Tauranga,67,65 and over,Agriculture,Vehicles & Machinery,Yes,1
2016,8,01AUG2016,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Canterbury,Waimakariri,70,65 and over,Agriculture,Vehicles & Machinery,,1
2016,8,01AUG2016,"Agriculture, Forestry and Fishing",Agriculture,Mushroom and Vegetable Growing,Vegetable Growing (Outdoors),Agriculture,Manawatu-Whanganui,Horowhenua,73,65 and over,Agriculture,Vehicles & Machinery,,1
